Current Time,Relative Time,Button Pushed,Zig ID,Zig X,Zig Y,Zig Z,Zig Qw,Zig Qx,Zig Qy,Zig Qz,P1 ID,P1 X,P1 Y,P1 Z,P1 Qw,P1 Qx,P1 Qy,P1 Qz,P2 ID,P2 X,P2 Y,P2 Z,P2 Qw,P2 Qx,P2 Qy,P2 Qz,Zig 1 ID,Zig 1 X,Zig 1 Y,Zig 1 Z,Zig 1 Yaw,Zig 1 Pitch,Zig 1 Distance,Zig 2 ID,Zig 2 X,Zig 2 Y,Zig 2 Z,Zig 2 Yaw,Zig 2 Pitch,Zig 2 Distance
2538.064883,4.579713001000073,True,0,-0.999408,-0.000088,-0.005260,-0.034010,-0.098528,-0.073169,0.105176,1,0.946962,0.177463,-0.068098,0.259100,-0.702979,1.222540,0.242740,2,0.971556,-0.230616,0.043903,-0.031120,0.246443,1.298855,0.262241,2,-0.5162433385848999,1.2586435079574585,-0.02007168158888817,-22.30140342408707,-0.8452943450033616,1.3605489837409552,3,0.41648536920547485,1.2617205381393433,-0.019932352006435394,18.26770533147648,-0.8594630176211416,1.3288325996081534
2538.085688,4.600518001000182,True,0,-0.999409,-0.000064,-0.005260,-0.033986,-0.098524,-0.073161,0.105180,1,0.946908,0.177523,-0.068139,0.259245,-0.702958,1.222472,0.242738,2,0.971818,-0.229466,0.043959,-0.031353,0.247172,1.298557,0.262093,2,-0.5162433385848999,1.2586435079574585,-0.02007168158888817,-22.30140342408707,-0.8452943450033616,1.3605489837409552,3,0.41648536920547485,1.2617205381393433,-0.019932352006435394,18.26770533147648,-0.8594630176211416,1.3288325996081534
2538.119823999,4.634653999999955,True,0,-0.999409,-0.000064,-0.005243,-0.033986,-0.098529,-0.073157,0.105172,1,0.946830,0.177615,-0.068280,0.259430,-0.702955,1.222361,0.242732,2,0.972081,-0.228185,0.045097,-0.030923,0.248401,1.297955,0.261893,2,-0.5162433385848999,1.2586435079574585,-0.02007168158888817,-22.30140342408707,-0.8452943450033616,1.3605489837409552,3,0.41648536920547485,1.2617205381393433,-0.019932352006435394,18.26770533147648,-0.8594630176211416,1.3288325996081534
2538.152022,4.666852001000279,True,0,-0.999408,-0.000102,-0.005245,-0.034014,-0.098531,-0.073169,0.105177,1,0.946766,0.177792,-0.068299,0.259537,-0.702926,1.222239,0.242714,2,0.972246,-0.227230,0.046422,-0.030804,0.249650,1.297362,0.261641,2,-0.5127209424972534,1.2565069198608398,-0.023663703352212906,-22.198044203815595,-0.9989707817324669,1.357295979287417,3,0.40693679451942444,1.272502064704895,-0.02103833295404911,17.733893708706013,-0.902186028785561,1.3361518143030944
2538.202639,4.717469001000154,True,0,-0.999411,-0.000077,-0.005207,-0.033936,-0.098532,-0.073158,0.105180,1,0.946684,0.177973,-0.068197,0.259740,-0.702897,1.222145,0.242693,2,0.972400,-0.226166,0.049283,-0.029286,0.250341,1.297099,0.261331,2,-0.5127209424972534,1.2565069198608398,-0.023663703352212906,-22.198044203815595,-0.9989707817324669,1.357295979287417,3,0.40693679451942444,1.272502064704895,-0.02103833295404911,17.733893708706013,-0.902186028785561,1.3361518143030944
2538.220139999,4.734969999999976,True,0,-0.999409,-0.000068,-0.005252,-0.033967,-0.098528,-0.073157,0.105178,1,0.946646,0.178219,-0.068180,0.259712,-0.702830,1.222020,0.242677,2,0.972530,-0.225482,0.050438,-0.028276,0.251088,1.296862,0.261241,2,-0.5125260949134827,1.2549324035644531,-0.01736525073647499,-22.215562329537402,-0.7339419840478517,1.3556695347378949,3,0.39106979966163635,1.257965326309204,-0.015967758372426033,17.269156108433833,-0.6944547853988745,1.3174472739776173
2538.268361999,4.783191999999872,True,0,-0.999408,-0.000106,-0.005230,-0.034002,-0.098529,-0.073167,0.105173,1,0.946487,0.178838,-0.067950,0.259929,-0.702699,1.221776,0.242630,2,0.972485,-0.225902,0.050424,-0.026429,0.252170,1.296595,0.261344,2,-0.5125260949134827,1.2549324035644531,-0.01736525073647499,-22.215562329537402,-0.7339419840478517,1.3556695347378949,3,0.39106979966163635,1.257965326309204,-0.015967758372426033,17.269156108433833,-0.6944547853988745,1.3174472739776173
2538.283848999,4.798678999999993,True,0,-0.999407,-0.000143,-0.005240,-0.034021,-0.098529,-0.073171,0.105176,1,0.946320,0.179559,-0.067820,0.260073,-0.702594,1.221517,0.242564,2,0.972733,-0.224552,0.052608,-0.024472,0.252787,1.296467,0.261189,2,-0.5125260949134827,1.2549324035644531,-0.01736525073647499,-22.215562329537402,-0.7339419840478517,1.3556695347378949,3,0.39106979966163635,1.257965326309204,-0.015967758372426033,17.269156108433833,-0.6944547853988745,1.3174472739776173
2538.316644999,4.831474999999955,True,0,-0.999408,-0.000122,-0.005218,-0.033997,-0.098530,-0.073169,0.105175,1,0.946246,0.179997,-0.067799,0.260043,-0.702524,1.221344,0.242523,2,0.972610,-0.225319,0.052124,-0.023335,0.253313,1.296441,0.261244,2,-0.5070269107818604,1.2501224279403687,-0.018980512395501137,-22.076579340936203,-0.8060839067700023,1.3491636790794934,3,0.38047438859939575,1.2672111988067627,-0.010699343867599964,16.712145092509434,-0.463317508627611,1.323139999667667
2538.403964,4.918794001000151,True,0,-0.999407,-0.000101,-0.005254,-0.034017,-0.098526,-0.073169,0.105176,1,0.946167,0.180494,-0.067717,0.260008,-0.702454,1.221116,0.242477,2,0.972585,-0.225420,0.052704,-0.022064,0.253660,1.296536,0.261147,2,-0.5070269107818604,1.2501224279403687,-0.018980512395501137,-22.076579340936203,-0.8060839067700023,1.3491636790794934,3,0.38047438859939575,1.2672111988067627,-0.010699343867599964,16.712145092509434,-0.463317508627611,1.323139999667667
